P:StockSharp.Xaml.Code.CodeExtensions.DefaultReferences/summary;DocStr8121
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/summary;DocStr8119
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/param/referenceNames;DocStr8120
M:StockSharp.Xaml.Code.CodeExtensions.ToReferences(System.Collections.Generic.IEnumerable{System.String})/returns;DocStr608
T:StockSharp.Xaml.Code.CodeReference/summary;DocStr8106
M:StockSharp.Xaml.Code.CodeReference.#ctor/summary;DocStr1
P:StockSharp.Xaml.Code.CodeReference.Name/summary;DocStr8112
P:StockSharp.Xaml.Code.CodeReference.Location/summary;DocStr8108
P:StockSharp.Xaml.Code.CodeReference.IsValid/summary;DocStr11282
M:StockSharp.Xaml.Code.CodeReference.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.Code.CodeReference.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.Code.CodeReference.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.Code.CodeReference.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
T:StockSharp.Xaml.Code.CodeReferencesWindow/summary;DocStr8109
F:StockSharp.Xaml.Code.CodeReferencesWindow.OkCommand/summary;DocStr9277
F:StockSharp.Xaml.Code.CodeReferencesWindow.AddCommand/summary;DocStr9278
F:StockSharp.Xaml.Code.CodeReferencesWindow.RemoveCommand/summary;DocStr9279
M:StockSharp.Xaml.Code.CodeReferencesWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.Code.CodeReferencesWindow.References/summary;References
M:StockSharp.Xaml.Code.CodeReferencesWindow.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.Code.CodeReferencesWindow.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.Code.CodeReferencesWindow.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.Code.CodeReferencesWindow.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.Code.CodeReferencesWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.CommissionPanel/summary;DocStr8122
M:StockSharp.Xaml.CommissionPanel.#ctor/summary;DocStr1
P:StockSharp.Xaml.CommissionPanel.Rules/summary;DocStr8123
M:StockSharp.Xaml.CommissionPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.CommissionWindow/summary;DocStr8124
M:StockSharp.Xaml.CommissionWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.CommissionWindow.Rules/summary;DocStr8125
M:StockSharp.Xaml.CommissionWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ConnectorInfo/summary;DocStr8317
P:StockSharp.Xaml.ConnectorInfo.Name/summary;DocStr8320
P:StockSharp.Xaml.ConnectorInfo.Description/summary;DocStr8321
P:StockSharp.Xaml.ConnectorInfo.Category/summary;DocStr8321
P:StockSharp.Xaml.ConnectorInfo.CategoryOrder/summary;DocStr12083
P:StockSharp.Xaml.ConnectorInfo.PreferLanguage/summary;DocStr4324
P:StockSharp.Xaml.ConnectorInfo.Platform/summary;DocStr4325
P:StockSharp.Xaml.ConnectorInfo.AdapterType/summary;DocStr8909
P:StockSharp.Xaml.ConnectorInfo.StorageName/summary;DocStr429
P:StockSharp.Xaml.ConnectorInfo.Icon/summary;DocStr7908
M:StockSharp.Xaml.ConnectorInfo.#ctor(StockSharp.Messages.IMessageAdapter)/summary;DocStr1
M:StockSharp.Xaml.ConnectorInfo.#ctor(StockSharp.Messages.IMessageAdapter)/param/adapter;Adapter
M:StockSharp.Xaml.ConnectorInfo.#ctor(System.Type)/summary;DocStr1
M:StockSharp.Xaml.ConnectorInfo.#ctor(System.Type)/param/adapterType;DocStr8910
M:StockSharp.Xaml.ConnectorInfo.ToString/inheritdoc;DocStr8459
T:StockSharp.Xaml.ConnectorSupportedMessagesPanel/summary;DocStr8911
M:StockSharp.Xaml.ConnectorSupportedMessagesPanel.#ctor/summary;DocStr1
P:StockSharp.Xaml.ConnectorSupportedMessagesPanel.Adapter/summary;DocStr8912
M:StockSharp.Xaml.ConnectorSupportedMessagesPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ConnectorWindow/summary;DocStr8322
F:StockSharp.Xaml.ConnectorWindow.RemoveCommand/summary;DocStr8312
F:StockSharp.Xaml.ConnectorWindow.EnableCommand/summary;DocStr8313
M:StockSharp.Xaml.ConnectorWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.ConnectorWindow.AutoConnect/summary;XamlStr16
P:StockSharp.Xaml.ConnectorWindow.Adapter/summary;DocStr8271
P:StockSharp.Xaml.ConnectorWindow.ConnectorsInfo/summary;DocStr8314
M:StockSharp.Xaml.ConnectorWindow.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.ConnectorWindow.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.ConnectorWindow.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.ConnectorWindow.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.ConnectorWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ContinuousSecurityWindow/summary;DocStr8179
M:StockSharp.Xaml.ContinuousSecurityWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.ContinuousSecurityWindow.SecurityStorage/summary;DocStr110
P:StockSharp.Xaml.ContinuousSecurityWindow.ExchangeInfoProvider/summary;DocStr8914
P:StockSharp.Xaml.ContinuousSecurityWindow.ValidateId/summary;DocStr8181
P:StockSharp.Xaml.ContinuousSecurityWindow.Security/inheritdoc;DocStr8459
M:StockSharp.Xaml.ContinuousSecurityWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.Converters.CandleStateToStringConverter/summary;DocStr9307
T:StockSharp.Xaml.Converters.ColoredIconConverter/summary;DocStr10740
M:StockSharp.Xaml.Converters.ColoredIconConverter.GetImage(System.String,System.Windows.Media.SolidColorBrush,System.Windows.Media.SolidColorBrush)/summary;DocStr11830
M:StockSharp.Xaml.Converters.ColoredIconConverter.GetImage(System.String,System.Windows.Media.SolidColorBrush,System.Windows.Media.SolidColorBrush)/param/iconKey;Str3304
M:StockSharp.Xaml.Converters.ColoredIconConverter.GetImage(System.String,System.Windows.Media.SolidColorBrush,System.Windows.Media.SolidColorBrush)/param/fill;DocStr11831
M:StockSharp.Xaml.Converters.ColoredIconConverter.GetImage(System.String,System.Windows.Media.SolidColorBrush,System.Windows.Media.SolidColorBrush)/param/stroke;DocStr11832
M:StockSharp.Xaml.Converters.ColoredIconConverter.GetImage(System.String,System.Windows.Media.SolidColorBrush,System.Windows.Media.SolidColorBrush)/returns;DocStr7908
T:StockSharp.Xaml.Converters.ProcessStatesToImageConverter/summary;DocStr9307
P:StockSharp.Xaml.Converters.ProcessStatesToImageConverter.StartedImage/summary;DocStr9505
P:StockSharp.Xaml.Converters.ProcessStatesToImageConverter.StoppingImage/summary;DocStr9505
P:StockSharp.Xaml.Converters.ProcessStatesToImageConverter.StoppedImage/summary;DocStr9505
T:StockSharp.Xaml.Converters.SelectedItemsCountTextConverter/summary;DocStr9848
T:StockSharp.Xaml.Converters.SeriesToStringConverter/summary;DocStr9307
M:StockSharp.Xaml.Converters.SeriesToStringConverter.Convert(System.Object,System.Type,System.Object,System.Globalization.CultureInfo)/inheritdoc;DocStr8459
T:StockSharp.Xaml.CredentialsWindow/summary;DocStr8182
M:StockSharp.Xaml.CredentialsWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.CredentialsWindow.Email/summary;Email
P:StockSharp.Xaml.CredentialsWindow.Password/summary;Password
P:StockSharp.Xaml.CredentialsWindow.AutoLogon/summary;XamlStr78
P:StockSharp.Xaml.CredentialsWindow.IsLoggedIn/summary;DocStr8183
M:StockSharp.Xaml.CredentialsWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.DataSourcePanel/summary;DocStr9358
P:StockSharp.Xaml.DataSourcePanel.ItemsSource/summary;DocStr9159
P:StockSharp.Xaml.DataSourcePanel.SelectedItem/summary;DocStr9359
P:StockSharp.Xaml.DataSourcePanel.Configure/summary;DocStr9360
E:StockSharp.Xaml.DataSourcePanel.SelectedItemChanged/summary;DocStr10071
M:StockSharp.Xaml.DataSourcePanel.#ctor/summary;DocStr1
M:StockSharp.Xaml.DataSourcePanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.Doc/summary;DocStr12265
F:StockSharp.Xaml.Doc.UrlProperty/summary;DocStr12266
M:StockSharp.Xaml.Doc.SetUrl(System.Windows.UIElement,System.String)/summary;DocStr12267
M:StockSharp.Xaml.Doc.GetUrl(System.Windows.UIElement)/summary;DocStr12268
T:StockSharp.Xaml.DriveComboBox/summary;DocStr11300
E:StockSharp.Xaml.DriveComboBox.Changed/summary;DocStr11301
M:StockSharp.Xaml.DriveComboBox.CreateEditorSettings/summary;DocStr8459
M:StockSharp.Xaml.DriveComboBox.CreateEditorSettings/returns;DocStr8459
M:StockSharp.Xaml.DriveComboBox.OnLoadedInternal/summary;DocStr8459
F:StockSharp.Xaml.DriveComboBox.SelectedDriveProperty/summary;DocStr29
P:StockSharp.Xaml.DriveComboBox.SelectedDrive/summary;DocStr9771
T:StockSharp.Xaml.ExchangeBoardsPanel/summary;DocStr8127
F:StockSharp.Xaml.ExchangeBoardsPanel.SaveErrorMessageProperty/summary;DocStr8128
P:StockSharp.Xaml.ExchangeBoardsPanel.Boards/summary;DocStr8131
P:StockSharp.Xaml.ExchangeBoardsPanel.SelectedBoardCode/summary;DocStr8132
E:StockSharp.Xaml.ExchangeBoardsPanel.Changed/summary;DocStr10071
M:StockSharp.Xaml.ExchangeBoardsPanel.#ctor/summary;DocStr1
M:StockSharp.Xaml.ExchangeBoardsPanel.SetBoardCode(System.String)/summary;DocStr8129
M:StockSharp.Xaml.ExchangeBoardsPanel.SetBoardCode(System.String)/param/boardCode;DocStr8130
M:StockSharp.Xaml.ExchangeBoardsPanel.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.ExchangeBoardsPanel.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.ExchangeBoardsPanel.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.ExchangeBoardsPanel.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.ExchangeBoardsPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ExchangesPanel/summary;DocStr8127
P:StockSharp.Xaml.ExchangesPanel.Exchanges/summary;DocStr1562
P:StockSharp.Xaml.ExchangesPanel.SelectedExchangeName/summary;DocStr8187
E:StockSharp.Xaml.ExchangesPanel.SelectedExchangeChanged/summary;DocStr8188
M:StockSharp.Xaml.ExchangesPanel.#ctor/summary;DocStr1
M:StockSharp.Xaml.ExchangesPanel.SetExchange(System.String)/summary;DocStr8184
M:StockSharp.Xaml.ExchangesPanel.SetExchange(System.String)/param/exchangeName;DocStr8185
M:StockSharp.Xaml.ExchangesPanel.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ExecutionGrid/summary;DocStr8133
M:StockSharp.Xaml.ExecutionGrid.#ctor/summary;DocStr1
P:StockSharp.Xaml.ExecutionGrid.MaxCount/summary;DocStr8136
P:StockSharp.Xaml.ExecutionGrid.Messages/summary;DocStr8137
P:StockSharp.Xaml.ExecutionGrid.SelectedMessage/summary;DocStr8138
P:StockSharp.Xaml.ExecutionGrid.SelectedMessages/summary;DocStr8139
M:StockSharp.Xaml.ExecutionGrid.HideColumns(StockSharp.Messages.ExecutionTypes)/summary;DocStr8134
M:StockSharp.Xaml.ExecutionGrid.HideColumns(StockSharp.Messages.ExecutionTypes)/param/type;DocStr8135
M:StockSharp.Xaml.ExecutionGrid.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ExtendedInfoStorageComboBox/summary;DocStr10009
M:StockSharp.Xaml.ExtendedInfoStorageComboBox.CreateEditorSettings/summary;DocStr8459
M:StockSharp.Xaml.ExtendedInfoStorageComboBox.CreateEditorSettings/returns;DocStr8459
M:StockSharp.Xaml.ExtendedInfoStorageComboBox.OnLoadedInternal/summary;DocStr8459
P:StockSharp.Xaml.ExtendedInfoStorageComboBox.Storages/summary;DocStr9770
P:StockSharp.Xaml.ExtendedInfoStorageComboBox.SelectedStorage/summary;DocStr9771
M:StockSharp.Xaml.ExtendedInfoStorageComboBox.#ctor/summary;DocStr1
T:StockSharp.Xaml.ExtendedInfoStorageWindow/summary;DocStr9769
P:StockSharp.Xaml.ExtendedInfoStorageWindow.Storages/summary;DocStr9770
P:StockSharp.Xaml.ExtendedInfoStorageWindow.SelectedStorage/summary;DocStr9771
M:StockSharp.Xaml.ExtendedInfoStorageWindow.#ctor/summary;DocStr1
M:StockSharp.Xaml.ExtendedInfoStorageWindow.InitializeComponent/summary;DocStr8
