M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/summary;DocStr128
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/param/security;DocStr2831
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/param/date;Date
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/returns;DocStr119
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime)/summary;DocStr128
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime)/param/securityId;SecurityId
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime)/param/date;Date
M:StockSharp.Algo.History.Forex.FxcmHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime)/returns;DocStr119
T:StockSharp.Algo.History.Forex.GainCapitalHistorySource/summary;DocStr124
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr1
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/param/nativeIdStorage;DocStr9329
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr9509
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/summary;DocStr109
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/securityStorage;DocStr110
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/criteria;DocStr111
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/newSecurity;DocStr112
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/isCancelled;DocStr113
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/summary;DocStr102
M:StockSharp.Algo.History.Forex.GainCapitalHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/security;DocStr2831
