M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.UnRegister(StockSharp.Algo.Candles.Compression.ICandleBuilder)/summary;DocStr10633
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.UnRegister(StockSharp.Algo.Candles.Compression.ICandleBuilder)/param/builder;DocStr9669
T:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter/summary;DocStr9859
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.#ctor(StockSharp.Messages.IMessageAdapter)/summary;DocStr1
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.#ctor(StockSharp.Messages.IMessageAdapter)/param/innerAdapter;DocStr9208
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.SendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.OnInnerAdapterNewOutMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.Clone/summary;DocStr643
M:StockSharp.Algo.Candles.Compression.CandleHolderMessageAdapter.Clone/returns;DocStr1116
T:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform/summary;DocStr10123
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.BuildFrom/summary;BuildFrom
M:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Process(StockSharp.Messages.Message)/summary;DocStr10125
M:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Process(StockSharp.Messages.Message)/param/message;Str3166
M:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Process(StockSharp.Messages.Message)/returns;DocStr10126
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Time/summary;DocStr659
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Price/summary;Price
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Volume/summary;DocStr3526
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.Side/summary;Side
P:StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform.OpenInterest/summary;Str150
T:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform/summary;DocStr10127
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.#ctor(StockSharp.Messages.MarketDataTypes)/summary;DocStr1
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.#ctor(StockSharp.Messages.MarketDataTypes)/param/buildFrom;BuildFrom
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/summary;DocStr10128
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/param/time;Time
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/param/price;Price
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/param/volume;DocStr3526
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/param/side;Side
M:StockSharp.Algo.Candles.Compression.BaseCandleBuilderValueTransform.Update(System.DateTimeOffset,System.Decimal,System.Nullable{System.Decimal},System.Nullable{StockSharp.Messages.Sides},System.Nullable{System.Decimal})/param/openInterest;Str150
T:StockSharp.Algo.Candles.Compression.TickCandleBuilderValueTransform/summary;DocStr10129
M:StockSharp.Algo.Candles.Compression.TickCandleBuilderValueTransform.#ctor/summary;DocStr1
M:StockSharp.Algo.Candles.Compression.TickCandleBuilderValueTransform.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Algo.Candles.Compression.QuoteCandleBuilderValueTransform/summary;DocStr10130
M:StockSharp.Algo.Candles.Compression.QuoteCandleBuilderValueTransform.#ctor/summary;DocStr1
P:StockSharp.Algo.Candles.Compression.QuoteCandleBuilderValueTransform.Type/summary;DocStr10131
M:StockSharp.Algo.Candles.Compression.QuoteCandleBuilderValueTransform.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Algo.Candles.Compression.Level1CandleBuilderValueTransform/summary;DocStr10132
M:StockSharp.Algo.Candles.Compression.Level1CandleBuilderValueTransform.#ctor/summary;DocStr1
P:StockSharp.Algo.Candles.Compression.Level1CandleBuilderValueTransform.Type/summary;DocStr10131
M:StockSharp.Algo.Candles.Compression.Level1CandleBuilderValueTransform.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Algo.Candles.Compression.OrderLogCandleBuilderValueTransform/summary;DocStr10133
M:StockSharp.Algo.Candles.Compression.OrderLogCandleBuilderValueTransform.#ctor/summary;DocStr1
P:StockSharp.Algo.Candles.Compression.OrderLogCandleBuilderValueTransform.Type/summary;DocStr10131
M:StockSharp.Algo.Candles.Compression.OrderLogCandleBuilderValueTransform.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Algo.Candles.Compression.CandleBuilder`1/summary;DocStr9669
T:StockSharp.Algo.Candles.Compression.CandleBuilder`1/typeparam/TCandleMessage;DocStr471
P:StockSharp.Algo.Candles.Compression.CandleBuilder`1.CandleType/summary;DocStr475
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr93
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr8927
P:StockSharp.Algo.Candles.Compression.CandleBuilder`1.ExchangeInfoProvider/summary;DocStr8927
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.Process(StockSharp.Messages.MarketDataMessage,StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform)/summary;DocStr486
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.Process(StockSharp.Messages.MarketDataMessage,StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform)/param/message;DocStr4473
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.Process(StockSharp.Messages.MarketDataMessage,StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform)/param/currentCandle;DocStr496
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.Process(StockSharp.Messages.MarketDataMessage,StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform)/param/transform;DocStr10134
M:StockSharp.Algo.Candles.Compression.CandleBuilder`1.Process(StockSharp.Messages.MarketDataMessage,StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Compression.ICandleBuilderValueTransform)/returns;DocStr9654
