M:StockSharp.Community.FileClient.Update(StockSharp.Community.FileData,System.Action{System.Int32},System.Func{System.Boolean})/param/cancel;DocStr9780
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/summary;DocStr2994
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/param/fileName;Str2002
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/param/body;DocStr2995
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/param/isPublic;DocStr9033
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/param/progress;DocStr9091
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/param/cancel;DocStr9780
M:StockSharp.Community.FileClient.Upload(System.String,System.Byte[],System.Boolean,System.Action{System.Int32},System.Func{System.Boolean})/returns;DocStr10238
M:StockSharp.Community.FileClient.GetUploadLimit/summary;DocStr10166
M:StockSharp.Community.FileClient.GetUploadLimit/returns;DocStr10167
T:StockSharp.Community.IAuthenticationService/summary;DocStr2997
M:StockSharp.Community.IAuthenticationService.Login(System.String,System.String)/summary;DocStr2963
M:StockSharp.Community.IAuthenticationService.Login(System.String,System.String)/param/email;Email
M:StockSharp.Community.IAuthenticationService.Login(System.String,System.String)/param/password;Password
M:StockSharp.Community.IAuthenticationService.Login(System.String,System.String)/returns;DocStr138
M:StockSharp.Community.IAuthenticationService.Login2(StockSharp.Community.Products,System.String,System.String)/summary;DocStr2963
M:StockSharp.Community.IAuthenticationService.Login2(StockSharp.Community.Products,System.String,System.String)/param/product;Product
M:StockSharp.Community.IAuthenticationService.Login2(StockSharp.Community.Products,System.String,System.String)/param/email;Email
M:StockSharp.Community.IAuthenticationService.Login2(StockSharp.Community.Products,System.String,System.String)/param/password;Password
M:StockSharp.Community.IAuthenticationService.Login2(StockSharp.Community.Products,System.String,System.String)/returns;DocStr138
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/summary;DocStr2963
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/param/product;Product
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/param/version;Version
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/param/email;Email
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/param/password;Password
M:StockSharp.Community.IAuthenticationService.Login3(StockSharp.Community.Products,System.String,System.String,System.String)/returns;DocStr138
M:StockSharp.Community.IAuthenticationService.Ping(System.Guid)/summary;DocStr8701
M:StockSharp.Community.IAuthenticationService.Ping(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.IAuthenticationService.Logout(System.Guid)/summary;DocStr2964
M:StockSharp.Community.IAuthenticationService.Logout(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.IAuthenticationService.GetId(System.Guid)/summary;DocStr2965
M:StockSharp.Community.IAuthenticationService.GetId(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.IAuthenticationService.GetId(System.Guid)/returns;UserId
T:StockSharp.Community.IFileService/summary;DocStr3013
M:StockSharp.Community.IFileService.GetFileInfo(System.Guid,System.Int64)/summary;DocStr9030
M:StockSharp.Community.IFileService.GetFileInfo(System.Guid,System.Int64)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.GetFileInfo(System.Guid,System.Int64)/param/id;DocStr9031
M:StockSharp.Community.IFileService.GetFileInfo(System.Guid,System.Int64)/returns;DocStr9032
M:StockSharp.Community.IFileService.BeginDownload(System.Guid,System.Int64)/summary;DocStr9092
M:StockSharp.Community.IFileService.BeginDownload(System.Guid,System.Int64)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.BeginDownload(System.Guid,System.Int64)/param/id;DocStr9031
M:StockSharp.Community.IFileService.BeginDownload(System.Guid,System.Int64)/returns;DocStr9093
M:StockSharp.Community.IFileService.ProcessDownload(System.Guid,System.Int32,System.Int32)/summary;DocStr9094
M:StockSharp.Community.IFileService.ProcessDownload(System.Guid,System.Int32,System.Int32)/param/operationId;DocStr9095
M:StockSharp.Community.IFileService.ProcessDownload(System.Guid,System.Int32,System.Int32)/param/startIndex;DocStr9096
M:StockSharp.Community.IFileService.ProcessDownload(System.Guid,System.Int32,System.Int32)/param/count;DocStr9097
M:StockSharp.Community.IFileService.ProcessDownload(System.Guid,System.Int32,System.Int32)/returns;DocStr9098
