Str193;Server notification interval that the connection is still alive. By default equal to 1 minute.;Интервал оповещения сервера о том, что подключение еще живое. По-умолчанию равно 1 минуте.
TimeInterval;Time interval;Интервал времени
Str195;TimeMessage message generation interval. By default equal to 10 milliseconds.;Интервал генерации сообщения TimeMessage. По-умолчанию равно 10 миллисекундам.
Str196;MarketTimeChanged event invocation interval can not be less or equal to zero.;Интервал вызова события MarketTimeChanged не может быть меньше или равен нулю.
Str197;Combining securities;Объединять инструменты
Str198;Create a combined security for securities from different boards.;Создавать объединенный инструмент для инструментов с разных торговых площадок.
Str199;Board code for combined security.;Код площадки для объединенного инструмента.
Str200;Market depth at Level1;Стакан по Level1
Str201;Refresh market depth for security using Level1 data.;Обновлять стакан для инструмента по Level1 данным.
Messages;Messages;Сообщения
Str203;Local time;Локальное время
Str204;Local time label when a message was received/created.;Метка локального времени, когда сообщение было получено/создано.
ExtendedInfo;Extended information;Расширенная информация
Id;ID;Номер
NewsId;News ID.;Номер новости.
Board;Board;Площадка
Security;Security;Инструмент
Str212;Security ID, for which news have been published.;Идентификатор инструмента, для которого опубликована новость.
Str213;Source;Источник
Str214;News source.;Источник новости.
Str215;Header;Заголовок
Str217;Text;Текст
Str218;News text.;Текст новости.
Str219;Time;Время
Str220;Time of news arrival.;Время появления новости.
Str221;Link;Ссылка
Str222;News link in the internet.;Ссылка на новость в интернете.
Str223;Call;Кол
Str224;Put;Пут
Str225;Parameters;Параметры
Str226;Stop-orders;Стоп-заявки
Str227;Cancel stop-orders or normal.;Снимать стоп-заявки или обычные.
Str228;Direction, for which orders have to be cancelled.;Направление, для которого необходимо снять заявки.
Str229;Portfolio name, for which an order must be placed/cancelled.;Название портфеля, по которому необходимо выставить/снять заявку.
Str230;Transaction number;Номер транзакции
Str231;Lifetime;Время жизни
Str232;Limit order lifetime.;Время жизни лимитной заявки.
Str233;REPO\REPO-M information;Информация РЕПО\РЕПО-М
Str234;Information for REPO\REPO-M orders.;Информация для РЕПО\РЕПО-М заявок.
Str235;Negotiate Trades Mode information;Информация РПС
Str236;Information for Negotiate Deals Mode orders.;Информация для РПС заявок.
Str237;Without state;Без состояния
Str238;Active;Активна
Str239;Not active;Не активна
Str241;Market;Рыночная
Str242;Stop;Стоп
Str243;REPO;РЕПО
Str244;REPO-M;РЕПО-М
Str245;Negotiable Trades Mode;РПС
Str246;Filling;Исполнение
Str247;Portfolio code name.;Кодовое название портфеля.
Str248;Active;Активен
Str249;Blocked;Заблокирован
Str250;Currency;Валюта
Str251;Portfolio currency.;Валюта портфеля.
Str252;Portfolio state.;Состояние портфеля.
Str253;Initial value;Начальное значение
Str254;Current value;Текущая значение
Str255;Blocked;Заблокировано
Str256;Position cost;Стоимость позиции
Str257;Average price;Средневзвешанная цена
Str258;Unrealized profit;Нереализованная прибыль
Str259;Realized profit;Реализованная прибыль
Str260;Variation margin;Вариационная маржа
Str261;Margin shoulder;Плечо маржи
Str262;Total commission;Общий размер комиссий
Str263;Current value (in lots);Текущее значение (в лотах)
Str264;Depositary name;Название депозитария
Str265;Portfolio state;Состояние портфеля
Str266;Limit type;Вид лимита
Str267;Limit type for Т+ market. If delivery is immediate, then limit is equal Т+0.;Вид лимита для Т+ рынка. Если поставка выполняется сразу, то лимит равен Т+0.
Description;Description;Описание
Str269;Text position description.;Текстовое описание позиции.
Str270;Portfolio, in which position is created.;Портфель, в котором создана позиция.
Str271;Security, for which a position was created.;Инструмент, по которому создана позиция.
Str272;Limit;Лимит
Str273;Quote;Котировка
Str274;Market depth quote representing bid or ask.;Котировка стакана, представляющая бид или оффер.
Str275;Quote price.;Цена котировки.
Str276;Quote volume.;Объем котировки.
Str277;Direction (buy or sell).;Направление (покупка или продажа).
Bid;Bid;Бид
Ask;Ask;Оффер
Str281;Bids;Биды
Str282;Quotes to buy.;Котировки на покупку.
Str283;Asks;Офера
Str284;Quotes to sell.;Котировки на продажу.
Str285;Quotes change time;Время изменения котировок
Str287;Greatest price;Наибольшая цена
Str288;Lowest price;Наименьшая цена
Str289;Last trade;Последняя сделка
Str290;Step price;Стоимость шага
Str291;Best bid;Лучший бид
Str292;Best ask;Лучший оффер
Str293;Volatility (implied);Волатильность (подразумеваемая)
Str294;Theoretical price;Теоретическая цена
Str295;Bids volume;Объем бидов
Str296;Number of bids;Количество бидов
Str297;Ask volume;Объем офферов
Str298;Number of asks;Количество офферов
Str299;Volatility (historic);Волатильность (историческая)
Str300;Delta;Дельта
Str301;Gamma;Гамма
Str302;Vega;Вега
Str303;Theta;Тета
Str304;Initial margin (buy);ГО (покупка)
Str305;Initial margin (sell);ГО (продажа)
Str306;Minimum price step;Минимальный шаг цены
Str307;Minimum volume step;Минимальный шаг объема
Str308;Last trade price;Цена последней сделки
Str309;Last trade volume;Объем последней сделки
Str310;Volume per session;Объем за сессию
Str311;Average price per session;Средняя цена за сессию
Str312;Settlement price;Рассчетная цена
Str313;Best bid price;Лучшая цена покупки
Str314;Best bid volume;Лучший объем покупки
Str315;Best ask price;Лучшая цена продажи
Str316;Best ask volume;Лучший объем продажи
Str317;Rho;Ро
Str318;Accrued Coupon Interest;НКД
Str319;Bid (max);Бид (макс)
Str320;Ask (min);Оффер (мин)
Str321;Profitability;Доходность
Str322;Time of last trade;Время последней сделки
Str323;Number of trades;Количество сделок
Str325;Last trade ID;Идентификатор последней сделки
Str326;Best bid time;Время лучшего бида
Str327;Best ask time;Время лучшего офера
Str328;Trend;Тренд
Str329;Initiator;Инициатор
Str330;Lot;Лот
Str331;Number of shares;Количество акций
Str332;Liquidity (current);Ликвидность (текущая)
Str333;Liquidity (instantaneous);Ликвидность (мгновенная)
Str334;Capital (longterm debt);Капитал (долгосрочный долг)
Str335;Capital (debt);Капитал (долг)
Str336;Assets margin (gross);Маржа активов (гросс)
Str337;Assets margin;Маржа активов
Str338;Profit margin;Маржа прибыли
Str339;Beta;Бета
Str340;HV (week);HV (неделя)
Str341;HV (month);HV (месяц)
Str342;System;Системная
Str343;From;От
Str344;Start date, from which data needs to be retrieved.;Дата начала, с которой необходимо получать данные.
Str345;Until;До
Str346;End date, until which data needs to be retrieved.;Дата окончания, до которой необходимо получать данные.
Str347;Argument;Аргумент
Str348;Additional argument for market data request.;Дополнительный аргумент для запроса маркет-данных.
Str349;Security code;Код инструмента
Str351;ID in SEDOL format (Stock Exchange Daily Official List).;Идентификатор в формате SEDOL (Stock Exchange Daily Official List).
Str352;ID in CUSIP format (Committee on Uniform Securities Identification Procedures).;Идентификатор в формате CUSIP (Committee on Uniform Securities Identification Procedures).
Str353;ID in ISIN format (International Securities Identification Number).;Идентификатор в формате ISIN (International Securities Identification Number).
Str354;ID in RIC format (Reuters Instrument Code).;Идентификатор в формате RIC (Reuters Instrument Code).
Str355;ID in Bloomberg format.;Идентификатор в формате Bloomberg.
Str356;ID in IQFeed format.;Идентификатор в формате IQFeed.
Str357;ID in Interactive Brokers format.;Идентификатор в формате Interactive Brokers.
Str358;ID in Plaza format.;Идентификатор в формате Plaza.
Type;Type;Тип
Str360;Security type.;Тип инструмента.
Str361;Identifier;Идентификатор
